t_sec,north,east,up
3.702906000000000031e+00,-2.034141302108764648e+00,-1.767253637313842773e+00,-2.615364074707031250e+00
3.799809000000000214e+00,-2.028122663497924805e+00,-1.774600744247436523e+00,-2.624137878417968750e+00
3.905857000000000134e+00,-2.016367197036743164e+00,-1.783839344978332520e+00,-2.632141113281250000e+00
4.002551999999999666e+00,-2.003908634185791016e+00,-1.794847130775451660e+00,-2.634803771972656250e+00
4.099267000000000216e+00,-1.993002891540527344e+00,-1.801714301109313965e+00,-2.645118713378906250e+00
4.206070999999999671e+00,-1.987040877342224121e+00,-1.800708293914794922e+00,-2.657333374023437500e+00
4.302527999999999686e+00,-1.985902428627014160e+00,-1.793738722801208496e+00,-2.675506591796875000e+00
4.408730000000000260e+00,-1.988202810287475586e+00,-1.783021569252014160e+00,-2.695098876953125000e+00
4.505310999999999844e+00,-1.990374565124511719e+00,-1.775100946426391602e+00,-2.705612182617187500e+00
4.601960000000000051e+00,-1.993842124938964844e+00,-1.769681930541992188e+00,-2.709754943847656250e+00
4.698624999999999829e+00,-1.997436165809631348e+00,-1.768576264381408691e+00,-2.708839416503906250e+00
4.805087000000000330e+00,-2.001713752746582031e+00,-1.768880248069763184e+00,-2.705093383789062500e+00
4.902027000000000356e+00,-2.006023645401000977e+00,-1.768420457839965820e+00,-2.702384948730468750e+00
4.998356000000000243e+00,-2.010189771652221680e+00,-1.765250444412231445e+00,-2.702201843261718750e+00
5.104675000000000296e+00,-2.014350175857543945e+00,-1.760797739028930664e+00,-2.704338073730468750e+00
5.201354000000000255e+00,-2.016806602478027344e+00,-1.759342551231384277e+00,-2.707366943359375000e+00
5.307739999999999903e+00,-2.017984867095947266e+00,-1.760903716087341309e+00,-2.710746765136718750e+00
5.404513999999999818e+00,-2.019410133361816406e+00,-1.762928009033203125e+00,-2.711982727050781250e+00
5.501094000000000150e+00,-2.020258188247680664e+00,-1.767907023429870605e+00,-2.712585449218750000e+00
5.607554000000000372e+00,-2.020179748535156250e+00,-1.772799849510192871e+00,-2.713546752929687500e+00
5.704209999999999781e+00,-2.020758390426635742e+00,-1.775318861007690430e+00,-2.714843750000000000e+00
5.801302999999999876e+00,-2.023900747299194336e+00,-1.772214531898498535e+00,-2.716697692871093750e+00
5.897518999999999956e+00,-2.031711578369140625e+00,-1.759561538696289062e+00,-2.717102050781250000e+00
6.003987000000000407e+00,-2.045685291290283203e+00,-1.728296756744384766e+00,-2.716476440429687500e+00
6.100608000000000253e+00,-2.063244104385375977e+00,-1.678911805152893066e+00,-2.722602844238281250e+00
6.206888000000000183e+00,-2.086828231811523438e+00,-1.602910995483398438e+00,-2.732192993164062500e+00
6.303634999999999877e+00,-2.108450412750244141e+00,-1.525474548339843750e+00,-2.735321044921875000e+00
6.400303000000000075e+00,-2.124057292938232422e+00,-1.452870607376098633e+00,-2.733764648437500000e+00
6.506712000000000273e+00,-2.138933897018432617e+00,-1.368378639221191406e+00,-2.728942871093750000e+00
6.603330999999999840e+00,-2.150670051574707031e+00,-1.283838868141174316e+00,-2.726745605468750000e+00
6.699943000000000204e+00,-2.160260915756225586e+00,-1.184256672859191895e+00,-2.731643676757812500e+00
6.806347999999999843e+00,-2.167151451110839844e+00,-1.055100440979003906e+00,-2.746459960937500000e+00
6.903057000000000443e+00,-2.176182746887207031e+00,-9.238909482955932617e-01,-2.753402709960937500e+00
7.009365999999999985e+00,-2.189462661743164062e+00,-7.605344653129577637e-01,-2.770835876464843750e+00
7.106018999999999863e+00,-2.206290960311889648e+00,-5.892450809478759766e-01,-2.777862548828125000e+00
7.203014999999999723e+00,-2.229832172393798828e+00,-3.992966115474700928e-01,-2.765975952148437500e+00
7.299408999999999814e+00,-2.256296157836914062e+00,-2.000669836997985840e-01,-2.774154663085937500e+00
7.405763999999999569e+00,-2.285895586013793945e+00,4.481896013021469116e-02,-2.789466857910156250e+00
7.502399999999999736e+00,-2.318682909011840820e+00,2.868485152721405029e-01,-2.789810180664062500e+00
7.599140000000000228e+00,-2.362346410751342773e+00,5.608447790145874023e-01,-2.773490905761718750e+00
7.706113000000000213e+00,-2.423756837844848633e+00,8.822713494300842285e-01,-2.794715881347656250e+00
7.802906000000000120e+00,-2.484897136688232422e+00,1.188135504722595215e+00,-2.802238464355468750e+00
7.908794000000000324e+00,-2.550817489624023438e+00,1.545550465583801270e+00,-2.778442382812500000e+00
8.005250999999999451e+00,-2.597408533096313477e+00,1.897436261177062988e+00,-2.777778625488281250e+00
8.101877999999999247e+00,-2.646846771240234375e+00,2.278861284255981445e+00,-2.755386352539062500e+00
8.198470000000000368e+00,-2.712806463241577148e+00,2.670724868774414062e+00,-2.709663391113281250e+00
8.304900999999999200e+00,-2.799647092819213867e+00,3.115848779678344727e+00,-2.715942382812500000e+00
8.401655999999999125e+00,-2.861644744873046875e+00,3.541196346282958984e+00,-2.706413269042968750e+00
8.498208999999999236e+00,-2.899684667587280273e+00,3.973075866699218750e+00,-2.698165893554687500e+00
8.604582999999999871e+00,-2.945863485336303711e+00,4.473606109619140625e+00,-2.690879821777343750e+00
8.701225000000000875e+00,-3.006556510925292969e+00,4.940403461456298828e+00,-2.685523986816406250e+00
8.807607000000000852e+00,-3.069951057434082031e+00,5.459630489349365234e+00,-2.684471130371093750e+00
8.904339999999999478e+00,-3.111585140228271484e+00,5.947345256805419922e+00,-2.661010742187500000e+00
9.001011999999999347e+00,-3.139533042907714844e+00,6.435138702392578125e+00,-2.648651123046875000e+00
9.107426000000000244e+00,-3.185699701309204102e+00,6.984834671020507812e+00,-2.617080688476562500e+00
9.203988000000000724e+00,-3.236192464828491211e+00,7.498182773590087891e+00,-2.602592468261718750e+00
9.300724000000000657e+00,-3.266880273818969727e+00,8.024007797241210938e+00,-2.579696655273437500e+00
9.407163999999999859e+00,-3.288937807083129883e+00,8.611842155456542969e+00,-2.565452575683593750e+00
9.503811999999999927e+00,-3.306329488754272461e+00,9.159950256347656250e+00,-2.556068420410156250e+00
9.600491999999999138e+00,-3.344053506851196289e+00,9.719392776489257812e+00,-2.568313598632812500e+00
9.706753000000000853e+00,-3.395357370376586914e+00,1.034005641937255859e+01,-2.554115295410156250e+00
9.803725000000000023e+00,-3.427474975585937500e+00,1.090145397186279297e+01,-2.503593444824218750e+00
9.900114000000000303e+00,-3.438324689865112305e+00,1.149374771118164062e+01,-2.425949096679687500e+00
1.000689900000000065e+01,-3.468925714492797852e+00,1.220731925964355469e+01,-2.257476806640625000e+00
1.010331599999999952e+01,-3.523169994354248047e+00,1.289602088928222656e+01,-2.104827880859375000e+00
1.019991500000000073e+01,-3.585116386413574219e+00,1.360053634643554688e+01,-1.953300476074218750e+00
1.030622299999999925e+01,-3.666056156158447266e+00,1.438885307312011719e+01,-1.768394470214843750e+00
1.040308800000000033e+01,-3.747646570205688477e+00,1.509996032714843750e+01,-1.606887817382812500e+00
1.050933799999999962e+01,-3.836819648742675781e+00,1.588366699218750000e+01,-1.451843261718750000e+00
1.060590299999999964e+01,-3.923502206802368164e+00,1.661351394653320312e+01,-1.333839416503906250e+00
1.070258899999999969e+01,-4.015272617340087891e+00,1.736831283569335938e+01,-1.244606018066406250e+00
1.079951800000000084e+01,-4.110811233520507812e+00,1.815290069580078125e+01,-1.193168640136718750e+00
1.090569400000000044e+01,-4.220251560211181641e+00,1.906011009216308594e+01,-1.188415527343750000e+00
1.100233700000000070e+01,-4.322109699249267578e+00,1.992388725280761719e+01,-1.234489440917968750e+00
1.109908599999999979e+01,-4.430264949798583984e+00,2.083023262023925781e+01,-1.327743530273437500e+00
1.120540899999999951e+01,-4.555078506469726562e+00,2.187473297119140625e+01,-1.488845825195312500e+00
1.130294600000000038e+01,-4.673176765441894531e+00,2.286575317382812500e+01,-1.679847717285156250e+00
1.140877300000000005e+01,-4.807409763336181641e+00,2.400290870666503906e+01,-1.912414550781250000e+00
1.150505800000000001e+01,-4.931887626647949219e+00,2.507969665527343750e+01,-2.117286682128906250e+00
1.160167000000000037e+01,-5.057952404022216797e+00,2.618878555297851562e+01,-2.299034118652343750e+00
1.169842799999999983e+01,-5.186629295349121094e+00,2.732210540771484375e+01,-2.440010070800781250e+00
1.180577300000000029e+01,-5.332258701324462891e+00,2.858205032348632812e+01,-2.533981323242187500e+00
1.190147499999999958e+01,-5.469501018524169922e+00,2.972222518920898438e+01,-2.562507629394531250e+00
1.199810899999999947e+01,-5.617074012756347656e+00,3.085293388366699219e+01,-2.539131164550781250e+00
1.210446100000000058e+01,-5.791432380676269531e+00,3.207323074340820312e+01,-2.443656921386718750e+00
1.220111900000000027e+01,-5.960621833801269531e+00,3.315916824340820312e+01,-2.295562744140625000e+00
1.230782600000000038e+01,-6.155691623687744141e+00,3.433444595336914062e+01,-2.082855224609375000e+00
1.240418900000000058e+01,-6.336361408233642578e+00,3.539785766601562500e+01,-1.863204956054687500e+00
1.250087699999999913e+01,-6.518688678741455078e+00,3.646600723266601562e+01,-1.638496398925781250e+00
1.260727600000000059e+01,-6.723421573638916016e+00,3.765544128417968750e+01,-1.402641296386718750e+00
1.270396099999999961e+01,-6.910711288452148438e+00,3.875490570068359375e+01,-1.211868286132812500e+00
1.280084500000000070e+01,-7.099816322326660156e+00,3.986921310424804688e+01,-1.037780761718750000e+00
1.290694799999999987e+01,-7.311825752258300781e+00,4.110261917114257812e+01,-8.410186767578125000e-01
1.300357400000000041e+01,-7.507745742797851562e+00,4.222210311889648438e+01,-6.318588256835937500e-01
1.310032900000000033e+01,-7.713023185729980469e+00,4.333048248291015625e+01,-3.715591430664062500e-01
1.320681100000000008e+01,-7.956174850463867188e+00,4.452622222900390625e+01,-1.559448242187500000e-02
1.330333700000000086e+01,-8.193830490112304688e+00,4.559186935424804688e+01,3.541107177734375000e-01
1.340000099999999961e+01,-8.445611000061035156e+00,4.665077209472656250e+01,7.280044555664062500e-01
1.350644899999999993e+01,-8.739804267883300781e+00,4.782266998291015625e+01,1.098854064941406250e+00
1.360308599999999934e+01,-9.018675804138183594e+00,4.890303802490234375e+01,1.374549865722656250e+00
1.369973000000000063e+01,-9.307678222656250000e+00,5.000083541870117188e+01,1.597930908203125000e+00
1.380605599999999988e+01,-9.636003494262695312e+00,5.122521972656250000e+01,1.790763854980468750e+00
1.390279699999999963e+01,-9.945181846618652344e+00,5.235552215576171875e+01,1.918052673339843750e+00
1.400919299999999978e+01,-1.030013847351074219e+01,5.361738204956054688e+01,2.011116027832031250e+00
1.410584300000000013e+01,-1.064124679565429688e+01,5.478521728515625000e+01,2.071899414062500000e+00
1.420239699999999949e+01,-1.100534725189208984e+01,5.596303176879882812e+01,2.141159057617187500e+00
1.429929199999999945e+01,-1.139860248565673828e+01,5.714881515502929688e+01,2.234420776367187500e+00
1.440549700000000044e+01,-1.186108493804931641e+01,5.845294952392578125e+01,2.368659973144531250e+00
1.450212199999999996e+01,-1.229932117462158203e+01,5.964283370971679688e+01,2.502479553222656250e+00
1.459955599999999976e+01,-1.275704288482666016e+01,6.082906723022460938e+01,2.664909362792968750e+00
1.470521100000000025e+01,-1.329327869415283203e+01,6.211611938476562500e+01,2.909637451171875000e+00
1.480263000000000062e+01,-1.381002044677734375e+01,6.327722930908203125e+01,3.171615600585937500e+00
1.490857600000000005e+01,-1.440095520019531250e+01,6.454268646240234375e+01,3.469177246093750000e+00
1.500505800000000001e+01,-1.496479225158691406e+01,6.569456481933593750e+01,3.731964111328125000e+00
1.510183400000000020e+01,-1.554495906829833984e+01,6.685388946533203125e+01,3.973876953125000000e+00
1.519818500000000050e+01,-1.614614868164062500e+01,6.802293395996093750e+01,4.205085754394531250e+00
1.530461900000000064e+01,-1.684257698059082031e+01,6.931435394287109375e+01,4.476577758789062500e+00
1.540126500000000043e+01,-1.751419830322265625e+01,7.049254608154296875e+01,4.755569458007812500e+00
1.550783099999999948e+01,-1.829035186767578125e+01,7.179884338378906250e+01,5.076858520507812500e+00
1.560429099999999991e+01,-1.901530647277832031e+01,7.299018096923828125e+01,5.357543945312500000e+00
1.570099599999999995e+01,-1.975321578979492188e+01,7.419296264648437500e+01,5.602378845214843750e+00
1.580749800000000072e+01,-2.058570480346679688e+01,7.552963256835937500e+01,5.844329833984375000e+00
1.590406300000000073e+01,-2.136717987060546875e+01,7.674057769775390625e+01,6.073539733886718750e+00
1.600076999999999927e+01,-2.218895912170410156e+01,7.794330596923828125e+01,6.323600769042968750e+00
1.610711500000000029e+01,-2.314245796203613281e+01,7.925543975830078125e+01,6.611465454101562500e+00
1.620380300000000062e+01,-2.405929756164550781e+01,8.043999481201171875e+01,6.869697570800781250e+00
